product_name,brand,category,ingredients,size,image_url,product_url
"KUNDAL – Honey & Macadamia Pure Body Wash, English Rose, 500ml",KUNDAL,Cleanser,"Honey Extract – provides deep hydration, soothes dryness, and enhances skin smoothness. Macadamia Seed Oil – rich in fatty acids that nourish, protect, and support the skin barrier. Botanical Extracts – offer calming and antioxidant benefits for healthier-looking skin. Hydrating Ingredients (Glycerin & Natural Humectants) – help retain moisture and prevent post-wash tightness. Gentle Cleansing Surfactants – create a soft, creamy lather that cleans without stripping the skin.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-wash-english-rose-500ml/
"KUNDAL – Honey & Macadamia Pure Body Wash, Pink Grapefruit, 500ml",KUNDAL,Cleanser,"Honey Extract – deeply hydrates, soothes, and improves skin softness. Macadamia Seed Oil – rich in essential fatty acids that nourish the skin and support the moisture barrier. Botanical Extracts – provide soothing, antioxidant benefits for healthier-looking skin. Hydrating Agents (Glycerin & Humectants) – help lock in moisture and prevent post-wash dryness. Gentle Cleansing Surfactants – create a creamy, rich lather that cleans effectively without stripping natural oils.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-wash-pink-grapefruit-500ml/
"KUNDAL – Honey & Macadamia Pure Body Wash, White Musk, 500ml",KUNDAL,Cleanser,"Honey Extract – provides deep moisture, soothes dryness, and improves skin softness. Macadamia Seed Oil – nourishes, protects, and supports a healthy skin barrier with essential fatty acids. Botanical Extracts – offer calming and antioxidant care for healthier-looking skin. Hydrating Agents (Glycerin & Humectants) – lock in moisture and help prevent tightness after bathing. Gentle Cleansing Surfactants – create a soft, creamy lather that cleans effectively without stripping the skin.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-wash-white-musk-500ml/
"KUNDAL – Honey & Macadamia Pure Body Lotion, Amber Vanilla, 500ml",KUNDAL,Lotion,"Honey Extract – delivers deep hydration and helps soothe dry, rough skin. Macadamia Seed Oil – rich in essential fatty acids that replenish, soften, and support the skin’s moisture barrier. Botanical Extracts – provide soothing and antioxidant benefits for healthier-looking skin. Moisturizing Agents (Glycerin & Humectants) – lock in moisture and improve long-lasting softness. Lightweight Cream Texture – absorbs easily without greasiness.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-lotion-amber-vanilla-500ml/
"KUNDAL – Honey & Macadamia Pure Body Lotion, Baby Powder, 500ml",KUNDAL,Lotion,"Honey Extract – provides deep hydration and helps calm dry or rough skin. Macadamia Seed Oil – rich in essential fatty acids that nourish, soften, and support the skin’s moisture barrier. Botanical Extracts – offer soothing and antioxidant benefits for healthier-looking skin. Moisturizing Agents (Glycerin & Humectants) – lock in moisture for lasting softness and smoothness. Lightweight Cream Texture – absorbs quickly without leaving a greasy film.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-lotion-baby-powder-500ml/
"KUNDAL – Honey & Macadamia Pure Body Lotion, Cherry Blossom, 500ml",KUNDAL,Lotion,"Honey Extract – deeply moisturizes, soothes dryness, and improves skin softness. Macadamia Seed Oil – rich in essential fatty acids that nourish and support the skin’s moisture barrier. Botanical Extracts – provide calming, antioxidant benefits for healthier-looking skin. Hydrating Agents (Glycerin & Humectants) – lock in moisture and help maintain long-lasting hydration. Lightweight Cream Texture – absorbs quickly without greasiness, leaving skin silky and comfortable.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-lotion-cherry-blossom-500ml/
"KUNDAL – Honey & Macadamia Pure Body Lotion, English Rose, 500ml",KUNDAL,Lotion,"Honey Extract – delivers rich hydration, soothes dryness, and enhances skin softness. Macadamia Seed Oil – nourishes with essential fatty acids, supports the skin barrier, and improves elasticity. Botanical Extracts – provide calming and antioxidant benefits for healthier-looking skin. Moisturizing Agents (Glycerin & Humectants) – lock in moisture to maintain long-lasting smoothness. Light Cream Texture – absorbs effortlessly without greasiness, leaving the skin velvety and comfortable.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-lotion-english-rose-500ml/
"KUNDAL – Honey & Macadamia Pure Body Lotion, Pink Grapefruit, 500ml",KUNDAL,Lotion,"Honey Extract – deeply moisturizes, soothes dryness, and enhances skin softness. Macadamia Seed Oil – rich in essential fatty acids that support the skin barrier and improve elasticity. Botanical Extracts – calm and protect the skin while offering antioxidant benefits. Moisturizing Agents (Glycerin & Humectants) – lock in hydration for long-lasting smoothness. Light Cream Texture – absorbs quickly without greasiness, leaving the skin silky and refreshed.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-lotion-pink-grapefruit-500ml/
"KUNDAL – Honey & Macadamia Pure Body Lotion, White Musk, 500ml",KUNDAL,Lotion,"Honey Extract – provides rich moisture, soothes dryness, and improves skin softness. Macadamia Seed Oil – replenishes essential fatty acids, supports the skin barrier, and enhances elasticity. Botanical Extracts – offer calming and antioxidant benefits for healthier-looking skin. Moisturizing Agents (Glycerin & Humectants) – lock in hydration to maintain long-lasting smoothness. Light Cream Texture – absorbs quickly without greasy residue, leaving the skin velvety and comfortable.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-lotion-white-musk-500ml/
"KUNDAL – Honey & Macadamia Pure Body Lotion, Citrus & Basil, 500ml",KUNDAL,Lotion,"Honey Extract – provides deep hydration, soothes dryness, and improves skin softness. Macadamia Seed Oil – rich in essential fatty acids that nourish the skin and strengthen the moisture barrier. Botanical Extracts – deliver calming and antioxidant benefits for healthier-looking skin. Moisturizing Agents (Glycerin & Humectants) – help lock in moisture for long-lasting smoothness and comfort. Lightweight Cream Texture – absorbs quickly without greasiness, leaving the skin silky and refreshed.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-lotion-citrus-basil-500ml/
